ID_Cliente,Edad,Estado_Civil,Ingreso_Mensual,Cuenta_Sueldo,Cantidad_Producto_Financiero_BBVA,Uso_Banca_Internet,Deuda_Total_Tarjeta_ Credito,Linea_Disponible_Tarjeta_Credito,Linea_Total_Tarjeta_Credito,Porcentaje_Linea_Utilizada,Cantidad TOTAL_Reclamos
ID1,29,0,14,1,4,0,2,107,109,2%,5
ID2,30,1,12,0,3,1,0,60,60,0%,9
ID3,30,1,18,1,4,1,3,8,11,27%,5
ID4,30,1,16,0,4,1,0,18,18,0%,4
ID5,31,0,14,0,2,1,2,15,17,12%,2
ID6,31,0,14,0,3,1,8,6,14,57%,7
ID7,32,1,16,0,2,1,0,29,29,0%,6
ID8,32,0,12,0,3,1,0,13,13,0%,4
ID9,32,0,18,0,4,1,9,0,9,100%,5
ID10,33,1,13,1,4,1,0,3,3,0%,7
ID11,33,0,17,1,4,1,5,12,17,29%,5
ID12,33,1,15,1,4,1,0,6,6,0%,3
ID13,33,0,12,0,4,1,0,40,40,0%,5
ID14,34,0,18,0,2,1,8,37,45,18%,4
ID15,34,0,17,1,2,1,0,6,6,0%,5
ID16,34,1,19,0,3,1,0,30,30,0%,4
ID17,34,1,12,1,4,1,11,3,14,79%,6
ID18,34,1,16,1,4,1,2,3,5,40%,1
ID19,34,0,19,0,4,1,0,34,34,0%,5
ID20,34,1,14,1,4,1,34,40,74,46%,6
ID21,35,1,16,0,2,0,0,100,100,0%,5
ID22,35,1,12,0,2,1,0,80,80,0%,6
ID23,35,1,14,0,2,1,0,60,60,0%,4
ID24,35,0,14,0,2,1,1,75,76,1%,6
ID25,36,0,19,0,2,0,0,70,70,0%,3
ID26,36,1,15,0,3,1,0,69,69,0%,5
ID27,36,0,14,0,2,1,0,80,80,0%,5
ID28,36,0,17,0,2,1,0,11,11,0%,7
ID29,36,1,14,0,2,0,0,120,120,0%,7
ID30,36,0,17,0,2,0,0,40,40,0%,4
ID31,36,0,14,0,2,0,0,40,40,0%,9
ID32,36,0,16,0,3,1,5,19,24,21%,3
ID33,36,0,13,0,3,0,0,19,19,0%,7
ID34,36,0,19,1,4,1,7,15,22,32%,6
ID35,36,1,16,1,4,1,4,15,19,21%,8
ID36,37,0,18,1,4,1,6,58,64,9%,2
ID37,37,1,18,1,4,1,3,76,79,4%,4
ID38,37,0,18,0,4,0,0,74,74,0%,5
ID39,37,3,16,0,2,1,0,80,80,0%,6
ID40,37,3,18,0,2,1,0,50,50,0%,6
ID41,37,3,13,0,3,1,0,17,17,0%,4
ID42,37,1,13,1,4,1,30,13,43,70%,9
ID43,37,0,18,1,4,1,5,125,130,4%,7
ID44,38,3,15,0,2,0,0,80,80,0%,6
ID45,38,3,19,1,4,1,0,60,60,0%,6
ID46,38,3,16,1,4,1,5,24,29,17%,3
ID47,38,3,15,0,2,0,0,70,70,0%,8
ID48,38,3,15,0,3,1,0,15,15,0%,4
ID49,38,1,19,1,3,1,0,35,35,0%,5
ID50,38,3,17,0,3,0,0,50,50,0%,3
ID51,38,3,18,1,3,1,6,13,19,32%,7
ID52,38,1,14,1,4,1,0,100,100,0%,3
ID53,38,3,17,0,4,1,13,57,70,19%,4
ID54,38,0,16,1,4,1,1,18,19,5%,3
ID55,39,1,13,0,2,1,0,69,69,0%,6
ID56,39,3,19,0,2,0,0,110,110,0%,5
ID57,39,3,15,0,3,1,0,80,80,0%,5
ID58,39,1,13,0,4,1,0,30,30,0%,2
ID59,39,3,17,0,2,0,0,70,70,0%,3
ID60,39,3,18,0,2,1,0,75,75,0%,7
ID61,39,3,17,0,2,1,0,20,20,0%,4
ID62,39,3,16,0,3,1,0,90,90,0%,7
ID63,39,3,12,0,3,1,0,76,76,0%,3
ID64,39,3,14,0,3,1,0,60,60,0%,5
ID65,39,3,19,0,4,1,18,5,23,78%,6
ID66,39,3,16,0,4,1,7,4,11,64%,6
ID67,39,3,16,1,4,1,0,113,113,0%,6
ID68,40,3,15,0,3,1,24,47,71,34%,5
ID69,40,1,19,0,4,1,4,59,63,6%,3
ID70,40,3,17,1,3,1,19,75,94,20%,4
ID71,40,3,12,0,3,1,2,77,79,3%,4
ID72,40,3,12,0,3,1,0,50,50,0%,4
ID73,40,3,14,1,3,0,0,6,6,0%,6
ID74,40,0,16,1,3,1,15,120,135,11%,3
ID75,40,3,14,0,4,1,11,37,48,23%,5
ID76,41,0,12,0,2,0,0,52,52,0%,4
ID77,41,3,13,0,3,1,0,70,70,0%,4
ID78,41,0,15,1,4,1,0,90,90,0%,8
ID79,41,3,13,0,2,0,0,100,100,0%,8
ID80,41,3,17,0,2,0,0,90,90,0%,5
ID81,41,3,19,0,2,1,0,70,70,0%,5
ID82,41,3,16,0,2,0,0,40,40,0%,4
ID83,41,3,17,0,3,1,0,120,120,0%,8
ID84,41,1,14,1,4,1,1,7,8,13%,5
ID85,41,0,19,0,4,1,32,5,37,86%,5
ID86,41,3,19,0,4,1,2,9,11,18%,8
ID87,41,3,16,1,4,1,5,49,54,9%,3
ID88,41,0,13,1,4,1,0,57,57,0%,3
ID89,41,0,19,0,4,1,1,78,79,1%,7
ID90,41,3,15,1,4,1,7,4,11,64%,4
ID91,42,1,14,0,2,0,0,30,30,0%,3
ID92,42,3,18,1,2,1,19,10,29,66%,2
ID93,42,0,12,0,2,0,0,110,110,0%,3
ID94,42,1,19,1,3,1,4,25,29,14%,6
ID95,42,3,13,0,3,1,12,16,28,43%,7
ID96,42,3,16,0,3,1,2,47,49,4%,2
ID97,42,0,19,0,3,1,0,75,75,0%,5
ID98,42,3,16,0,3,0,0,70,70,0%,4
ID99,42,3,19,1,3,1,18,21,39,46%,5
ID100,42,3,13,1,4,1,21,2,23,91%,0
ID101,42,3,15,0,4,1,17,70,87,20%,6
ID102,42,3,18,1,4,1,13,5,18,72%,2
ID103,42,3,18,1,4,1,19,140,159,12%,4
ID104,42,1,17,1,4,1,18,51,69,26%,4
ID105,43,3,19,0,4,1,28,65,93,30%,6
ID106,43,3,14,0,4,0,0,120,120,0%,5
ID107,43,3,16,0,2,1,0,40,40,0%,5
ID108,43,3,14,0,3,0,0,70,70,0%,4
ID109,43,1,19,0,3,1,0,35,35,0%,7
ID110,43,3,15,1,4,1,7,7,14,50%,3
ID111,43,3,14,0,4,1,22,31,53,42%,2
ID112,43,3,14,1,4,1,8,40,48,17%,3
ID113,43,3,15,0,4,1,3,77,80,4%,7
ID114,43,3,13,0,4,1,0,100,100,0%,4
ID115,43,0,19,1,4,1,2,32,34,6%,8
ID116,44,0,19,0,2,0,0,110,110,0%,3
ID117,44,0,19,0,3,0,0,110,110,0%,4
ID118,44,1,18,1,4,1,0,120,120,0%,7
ID119,44,3,16,1,4,1,0,21,21,0%,6
ID120,44,0,13,1,4,1,10,95,105,10%,2
ID121,44,1,12,0,4,1,0,80,80,0%,4
ID122,44,0,12,1,4,1,24,10,34,71%,4
ID123,44,3,16,1,4,0,11,110,121,9%,2
ID124,45,0,12,0,2,0,0,70,70,0%,5
ID125,45,0,15,0,2,0,0,65,65,0%,3
ID126,45,1,14,0,4,1,1,5,6,17%,4
ID127,45,3,15,1,4,0,15,58,73,21%,8
ID128,45,3,15,1,2,1,0,50,50,0%,8
ID129,45,3,16,0,2,1,0,76,76,0%,7
ID130,45,1,19,0,2,1,0,93,93,0%,1
ID131,45,3,19,0,2,1,0,60,60,0%,4
ID132,45,3,15,0,2,1,0,70,70,0%,7
ID133,45,1,15,1,3,1,0,75,75,0%,3
ID134,45,1,17,0,3,1,0,60,60,0%,8
ID135,45,0,13,0,3,0,0,80,80,0%,6
ID136,45,3,19,0,3,1,30,65,95,32%,3
ID137,45,0,15,1,4,1,12,21,33,36%,4
ID138,46,1,16,0,2,0,0,80,80,0%,4
ID139,46,3,19,0,3,0,0,60,60,0%,5
ID140,46,0,17,0,2,1,4,95,99,4%,6
ID141,46,3,14,0,3,1,0,61,61,0%,5
ID142,46,1,19,0,3,0,0,6,6,0%,8
ID143,46,3,17,1,4,1,18,15,33,55%,7
ID144,46,0,17,0,4,1,0,70,70,0%,4
ID145,47,3,19,1,1,1,0,40,40,0%,4
ID146,47,0,19,0,2,1,0,95,95,0%,5
ID147,47,3,15,0,2,1,0,40,40,0%,7
ID148,47,1,14,1,4,1,6,40,46,13%,4
ID149,47,3,12,0,2,0,13,73,86,15%,7
ID150,47,0,18,0,2,0,0,40,40,0%,7
ID151,47,0,18,0,2,0,0,70,70,0%,4
ID152,47,0,13,0,2,0,0,25,25,0%,3
ID153,47,1,14,0,2,0,0,11,11,0%,7
ID154,47,0,12,0,3,0,0,50,50,0%,4
ID155,47,3,17,1,4,1,27,23,50,54%,3
ID156,47,1,17,0,4,1,4,95,99,4%,6
ID157,47,0,17,0,4,1,0,33,33,0%,4
ID158,47,3,18,0,4,1,2,27,29,7%,8
ID159,47,3,13,1,4,1,5,24,29,17%,5
ID160,48,3,12,0,4,0,0,56,56,0%,8
ID161,48,3,15,0,2,0,0,50,50,0%,4
ID162,48,3,16,0,2,1,0,22,22,0%,6
ID163,48,3,17,0,2,0,0,110,110,0%,3
ID164,48,1,15,0,2,0,0,70,70,0%,5
ID165,48,0,12,0,2,0,0,60,60,0%,5
ID166,48,3,15,0,3,0,11,42,53,21%,6
ID167,48,0,16,1,3,1,1,10,11,9%,5
ID168,48,0,17,0,3,1,21,101,122,17%,1
ID169,48,1,16,0,3,1,0,6,6,0%,5
ID170,48,0,13,0,4,1,18,21,39,46%,2
ID171,48,3,19,1,4,1,0,20,20,0%,5
ID172,49,3,15,0,2,0,0,50,50,0%,4
ID173,49,0,19,0,4,1,0,53,53,0%,8
ID174,49,1,17,0,4,0,0,30,30,0%,2
ID175,49,0,16,0,2,1,47,80,127,37%,3
ID176,49,3,17,0,2,1,0,50,50,0%,6
ID177,49,3,14,0,3,1,0,38,38,0%,6
ID178,49,0,15,0,3,1,35,75,110,32%,3
ID179,49,3,13,0,3,0,0,120,120,0%,2
ID180,49,3,17,0,3,1,0,5,5,0%,4
ID181,49,3,18,0,4,1,45,90,135,33%,6
ID182,49,3,12,0,4,1,7,37,44,16%,6
ID183,49,3,14,1,4,1,7,71,78,9%,5
ID184,50,3,15,0,3,1,0,120,120,0%,2
ID185,50,3,19,1,4,1,1,38,39,3%,3
ID186,50,1,13,0,1,0,19,95,114,17%,7
ID187,50,3,17,0,2,1,8,39,47,17%,8
ID188,50,1,19,0,2,0,0,40,40,0%,1
ID189,50,0,19,0,2,1,40,16,56,71%,8
ID190,50,3,15,0,2,0,0,40,40,0%,2
ID191,50,1,12,0,3,0,0,40,40,0%,6
ID192,50,1,12,0,3,1,33,23,56,59%,6
ID193,50,3,12,1,3,1,2,7,9,22%,6
ID194,50,1,15,0,3,1,3,96,99,3%,2
ID195,50,3,14,0,4,1,0,11,11,0%,6
ID196,50,0,14,0,4,1,11,64,75,15%,7
ID197,50,3,16,0,4,0,0,90,90,0%,6
ID198,50,3,17,0,4,1,14,80,94,15%,3
ID199,50,1,17,0,4,1,3,30,33,9%,5
ID200,50,0,14,0,4,1,0,40,40,0%,5
ID201,50,3,17,0,4,1,0,40,40,0%,4
ID202,50,0,16,0,4,1,0,25,25,0%,5
ID203,51,0,12,1,2,0,0,90,90,0%,7
ID204,51,1,19,0,2,0,0,80,80,0%,7
ID205,51,1,18,0,2,0,31,3,34,91%,3
ID206,51,0,14,0,2,0,0,62,62,0%,5
ID207,51,1,14,0,2,1,14,35,49,29%,5
ID208,51,3,17,0,3,1,6,93,99,6%,2
ID209,51,0,14,0,3,1,0,25,25,0%,8
ID210,51,1,14,1,4,1,0,80,80,0%,7
ID211,51,0,16,0,4,1,20,5,25,80%,3
ID212,51,3,14,0,4,1,3,66,69,4%,7
ID213,52,3,14,0,2,1,36,70,106,34%,5
ID214,52,3,13,0,2,1,0,31,31,0%,9
ID215,52,3,18,0,2,1,0,40,40,0%,6
ID216,52,3,17,0,2,0,0,40,40,0%,5
ID217,52,1,12,1,3,1,10,0,10,100%,5
ID218,52,1,18,0,3,1,4,25,29,14%,1
ID219,52,3,18,0,3,1,0,22,22,0%,5
ID220,52,1,14,0,4,0,13,17,30,43%,6
ID221,52,0,18,1,4,1,9,100,109,8%,4
ID222,52,3,12,1,4,1,0,122,122,0%,5
ID223,52,3,16,1,4,1,0,100,100,0%,6
ID224,52,3,14,1,4,1,7,4,11,64%,3
ID225,52,3,19,1,4,1,19,111,130,15%,9
ID226,52,1,18,0,4,1,0,14,14,0%,7
ID227,53,3,19,1,4,0,27,2,29,93%,3
ID228,53,3,13,0,2,0,0,120,120,0%,4
ID229,53,0,19,0,2,1,0,100,100,0%,6
ID230,53,3,19,0,2,0,0,60,60,0%,8
ID231,53,3,15,0,2,0,0,30,30,0%,3
ID232,53,1,14,0,3,1,11,33,44,25%,5
ID233,53,3,14,0,3,1,0,60,60,0%,4
ID234,53,1,18,0,4,0,0,76,76,0%,6
ID235,53,1,19,0,4,1,0,120,120,0%,8
ID236,53,0,16,0,4,1,0,70,70,0%,6
ID237,53,0,12,0,4,1,0,40,40,0%,8
ID238,53,3,18,1,4,1,23,30,53,43%,8
ID239,54,3,17,1,4,0,0,80,80,0%,8
ID240,54,3,15,0,2,1,12,27,39,31%,1
ID241,54,1,18,0,3,1,32,46,78,41%,4
ID242,54,3,16,0,3,1,0,90,90,0%,5
ID243,54,3,12,0,4,1,5,24,29,17%,6
ID244,54,3,13,0,4,0,0,70,70,0%,9
ID245,55,3,18,1,4,1,0,29,29,0%,4
ID246,55,1,13,0,2,1,0,4,4,0%,5
ID247,55,3,12,0,3,0,0,90,90,0%,4
ID248,55,1,19,0,3,1,0,39,39,0%,6
ID249,55,1,17,1,4,1,19,7,26,73%,9
ID250,55,3,14,1,4,1,0,40,40,0%,5
ID251,56,3,13,1,2,1,0,65,65,0%,3
ID252,56,3,18,0,2,1,0,50,50,0%,5
ID253,56,2,12,1,2,1,0,5,5,0%,3
ID254,56,1,13,0,2,1,19,26,45,42%,3
ID255,56,1,14,0,4,1,0,100,100,0%,2
ID256,56,2,12,1,4,1,13,46,59,22%,6
ID257,57,2,15,0,4,1,0,30,30,0%,5
ID258,57,1,16,0,3,1,28,46,74,38%,4
ID259,57,3,14,0,4,1,12,70,82,15%,5
ID260,57,2,17,0,4,0,33,46,79,42%,4
ID261,57,3,13,1,4,1,0,15,15,0%,6
ID262,57,0,13,0,4,1,13,120,133,10%,7
ID263,57,0,15,1,4,1,2,27,29,7%,7
ID264,57,1,12,0,4,1,3,91,94,3%,7
ID265,58,2,12,0,2,1,0,87,87,0%,2
ID266,58,2,14,0,4,0,2,23,25,8%,6
ID267,58,3,15,0,4,1,0,70,70,0%,6
ID268,58,2,16,1,4,1,2,40,42,5%,7
ID269,58,0,14,0,4,1,0,100,100,0%,8
ID270,59,3,17,0,3,0,0,75,75,0%,3
ID271,59,2,12,0,2,1,0,95,95,0%,7
ID272,59,1,15,0,1,0,0,65,65,0%,7
ID273,59,0,19,0,2,1,17,44,61,28%,5
ID274,59,0,14,0,2,0,0,75,75,0%,5
ID275,59,2,16,0,3,0,1,4,5,20%,3
ID276,59,2,19,0,3,1,0,60,60,0%,4
ID277,59,3,13,0,3,1,0,52,52,0%,4
ID278,59,2,15,0,4,1,0,11,11,0%,4
ID279,59,3,19,1,4,1,9,20,29,31%,9
ID280,60,2,13,0,3,1,0,9,9,0%,5
ID281,60,1,16,0,4,1,1,33,34,3%,7
ID282,60,1,15,0,4,1,47,110,157,30%,6
ID283,61,2,14,0,2,1,9,0,9,100%,3
ID284,61,3,19,0,3,1,0,110,110,0%,10
ID285,61,2,12,0,4,0,0,23,23,0%,3
ID286,62,2,18,1,3,1,22,51,73,30%,4
ID287,62,2,13,0,3,1,0,70,70,0%,4
ID288,62,2,18,1,4,1,8,90,98,8%,6
ID289,63,3,15,0,2,1,0,110,110,0%,4
ID290,63,2,12,0,2,0,0,70,70,0%,3
ID291,63,3,12,0,3,1,0,19,19,0%,4
ID292,63,3,14,0,4,0,0,40,40,0%,6
ID293,64,2,15,1,4,1,0,60,60,0%,5
ID294,64,1,19,0,4,1,13,70,83,16%,4
ID295,65,1,13,0,2,1,0,99,99,0%,4
ID296,65,3,19,0,2,0,0,120,120,0%,6
ID297,65,1,16,1,3,1,0,14,14,0%,7
ID298,65,0,17,1,3,1,35,76,111,32%,7
ID299,65,0,19,1,4,1,3,11,14,21%,6
ID300,65,1,14,0,4,1,2,98,100,2%,2
ID301,65,2,18,1,4,1,2,139,141,1%,1
ID302,66,0,14,1,4,1,0,66,66,0%,10
ID303,66,0,15,0,4,1,37,89,126,29%,4
ID304,66,1,16,0,4,1,0,97,97,0%,7
ID305,66,1,17,0,4,1,0,50,50,0%,6
